Year,Property,Fed Equity Factor,State Equity Factor
2004,Lane's Crossing,0.79,0.19
2004,Heathrow Senior Village,0.75,0.25
2004,Cove at Red Oak Residences,0.82,0.23
2004,Constitution Avenue Apartments,0.82,0.23
2004,Antigua Place,0.75,0.21
2004,Saratoga Court,0.75,0.21
2004,Overlook Pointe,0.755,0.21
2004,Monterey Pass,0.748,0.21
2004,Columbia Renaissance at Red Oak,0.82,0.23
2004,Columbia Senior Residences at Mt. Pleasant,0.82,0.2
2004,Columbia Grove Apartments,0.82,0.23
2004,Columbia Senior Residences at Edgewood,0.82,0.23
2004,Norman Berry Village Senior Residences,0.792,0.2475
2004,Fourth Street Village Apartments,0.8,0.2
2004,Woodvale Phase I,0.8,0.2
2004,Greenbriar Apartments,0.8,0.2
2004,Pecan Hills,0.8,0.2
2004,Spring Gardens Apartments,0.8,0.22
2004,Chamblee Senior Apartments,0.75,0.2
2004,Heritage Green Apartments,0.77,0.3
2004,Pinewood Park Apartments,0.8,0.25
2004,Thomson Villas,0.8,0.2
2004,May Park Villas,0.785,0.25
2004,Lakeview Apartments,0.77922,0.14985
2004,Tori Pines,0.7992,0.14985
2004,The Senior Residences at Thomson,0.75,0.25
2004,"Pittsburgh Phase II, Senior Apartments",0.79992,0.249975
2004,Test Project Apartments,0.78,0.2
2004,Forest Heights Apartments,0.8,0.25
2004,Atlantic Station Mixed Income,0.8,0.22
2004,"Carver Senior Building, LP",0.83,0.24
2004,"  Peabody Redevelopment Partnership I, LP",0.8,0.23
2004,"HAS Senior Partnership, LP",0.845,0.2
2004,Whispering Pines Apartments,0.8,0.25
2004,Gates Park Crossing Apartments,0.8,0.24
2004,Canterbury Village,0.78,0.2
2004,The Vineyards of Grovetown,0.23,0.82
2004,Wyncrest,0.84,0.2
2004,Alta Towne Lake,0.84,0.24
2004,Vineyards of Flat Shoals,0.81,0.25
2004,The Vineyards of Browns Mill,0.82,0.25
2004,Eastgate,0.85,0.25
2004,Farview,0.85,0.25
2004,Breckenridge,0.8525,0.25
2004,Hidden Pointe,0.839916,0.249975
2004,Glenwood Park,0.8,0.25
2004,Plaza Station,0.855,0.25
2004,Union Hill,0.86,0.25
2004,Capitol Gateway Phase I,1.02,0.25
2005,Covered Bridge Apartments,0.855,0.215
2005,Kirby Creek Apartments,0.835,0.19
2005,Hampton Lake Apartments,0.84,0.2
2005,Jordan Mills,0.85,0.27
2005,Campbell Stone Apartments,0.9,0.25
2005,Azalea Court Apartments,0.8,0.2
2005,Village Square Apartments,0.8,0.2
2005,Brierwood I Apartments,0.8,0.2
2005,Wildwood Apartments,0.8,0.2
2005,Cypresswood Apartments,0.8,0.2
2005,Waynesboro Gardens Apartments,0.8,0.25
2005,Riverside Gardens Apartments,0.8,0.25
2005,Statesboro Summit Apartments,0.8,0.25
2005,Macon Gardens Apartments,0.8,0.25
2005,Provenance at Hollowell Senior Housing,0.8099,0.2499
2005,Provenance at Hollowell Family Housing,0.8099,0.2499
2005,Enota Village Apartments,0.82,0.2
2005,Candler Forrest Apartments,0.85,0.25
2005,Gates Park Crossing Senior Residences,0.85,0.25
2005,Gates Park Housing For Older Persons,0.85,0.25
2005,Chamblee Senior Apartments,0.822,0.25
2005,Laurel Oaks Apartments,0.79,0.18
2005,Ridgecrest Apartments,0.82,0.25
2005,Columbia at Senior Residences at Mechanicsville,0.85,0.25
2005,MLK Village Tower,0.85,0.25
2005,Columbia at Mechanicsville Apartments,0.85,0.25
2005,Columbia Renaissance at Red Oak,0.85,0.25
2005,Mallard Landing,0.86,0.26
2005,The Legacy at Walton Village,0.88,0.25
2005,Hickory Ridge Apartments,0.85,0.25
2005,Riverdale Villas,0.93,0.22
2005,Cottonwood Pointe,0.77,0.21
2005,Imperial Place,0.77,0.21
2005,Linwood Place,0.77,0.21
2005,Mulberry Court,0.77,0.21
2005,Westport Village,0.77,0.2057
2005,Otter Run Apartments,0.85,0.25
2005,Vineyards of Grovetown,0.85,0.25
2005,Fullerton Square Apartments,0.84,0.24
2005,Capitol Gateway Phase II,0.91,0.25
2005,Ashford Parkside Senior Residences,0.839832,0.25
2005,Heritage at Covington,0.8745,0.2
2005,Anthony Arms Apartments,0.8,0.2
2005,Water's Edge Apartments,0.93,0.22
2005,Cedarwood Apartments,0.9,0.25
2005,Seven Courts Apartments,0.88,0.25
2005,The Senior Residences at Thomson,0.85,0.25
2005,Kingston Gardens Apartments,0.8500666,0.2
2005,"Peabody Redevelopment Partnership II, LP",0.91,0.22
2006,Laurel Ridge Development,0.91,0.24
2006,Heron Lake II,0.93,0.24
2006,Courtes de Emerald II,0.9,0.25
2006,Lyons,0.9,0.15
2006,Rolling Oaks Elderly,0.9,0.15
2006,Village Green,0.9,0.15
2006,Pine Point,0.9,0.15
2006,Magnolia Terrace II,0.95,0.24
2006,Pecan Grove II,0.93,0.25
2006,Ridgecrest,0.85,0.25
2006,Cascades of East Point,0.94,0.3
2006,Marcus Street Senior,0.9,0.25
2006,Cotton Mill Lofts,0.9249075,0.249975
2006,Fullerton Square,0.755,0.2
2006,Merrimac Village,0.97,0.27
2006,Perry Park,0.9,0.25
2006,Bridge Creek,0.85,0.25
2006,Ashton SF Senior (Name TBD),0.85,0.25
2006,Lone Mountain Village,0.77,0.2
2006,The Village at Chickamauga,0.75,0.2
2006,Annadale Park,0.75,0.2
2006,Mulberry Court,0.75,0.2
2006,Autumn Crest,0.75,0.2
2006,Windsor Court,0.825,0.25
2006,Cameron Court,0.85,0.29
2006,Mossy Branch,0.9,0.25
2006,Campbell Creek,0.95,0.25
2006,Pines by the Creek,0.95,0.25
2006,Pine Ridge Estates,0.838913,0.25
2006,Mechanicsville Phase 3,0.95,0.25
2006,Hope Estates Senior,0.95,0.25
2006,Mechanicsville Phase 4,0.95,0.25
2006,William Holmes Borders Senior,0.95,0.25
2006,Ashton Place,0.88,0.2
2006,Brookhaven,0.92,0.26
2006,Creekwood,0.88,0.2
2006,Summer Trace,0.8477,0.2
2006,Hickory Trace,0.80875,0.2
2006,Antioch Summit,0.95,0.25
2006,Grady Senior,0.95,0.25
2006,Ashley Station Phase II,0.95,0.25
2006,Ashford Landing Senior,0.969806,0.24995
2006,Colony West,0.92,0.25
2006,Pearl Stephens Village,0.92,0.25
2006,Parkway Court Village,0.98,0.28
2006,Edgewood I,0.9,0.25
2006,Edgewood II,0.9,0.25
2006,Forrest Heights,0.92,0.25
2006,Castor Village,0.92,0.25
2006,Barkley Estates,0.8415142,0.25
2006,Magnolia Village,0.9,0.25
2006,Lillie R. Campbell House,0.91,0.29
2006,Otter Run,1,0.27
2006,University Gardens,0.94,0.25
2006,John O. Chiles Senior,0.93,0.25
2006,Ashley Midtown II,0.91,0.25
2006,Lincoln Heights,0.9,0.25
2006,Paradise Estates,0.9,0.25
2007,The Bridges at Southlake,0.87,0.22
2007,The Estates at Rosemary,0.88,0.25
2007,The Gardens at St. Edmonds,0.88,0.25
2007,Cotton Mill Lofts,0.88,0.24
2007,Gray Gardens,0.85,0.2
2007,Heritage Square Elderly,0.82,0.2
2007,Country Lane,0.85,0.2
2007,Courtes de Emerald II,0.85,0.25
2007,Ashton Browns Mill,0.93,0.27
2007,Eastman Gardens,0.93,0.27
2007,Azalea Woods,0.93,0.27
2007,Woodland Quarters,0.9,0.28
2007,Whitehall Commons,0.88,0.24
2007,Mossy Branch Senior,0.88,0.245
2007,Whitehall Manor,0.88,0.24
2007,The Legacy at Walton Lakes,0.92,0.25
2007,Orchard Park,0.9,0.2615
2007,Pine Meadows,0.85,0.249755
2007,Ridgefield Place,0.89367,0.25
2007,Sheppard Station,0.87,0.25
2007,Villas on Forsyth,0.85,0.25
2007,The Village at Wedgewood,0.86,0.255
2007,Baldwin Park,0.8,0.206168
2007,The Retreat at Dorsey Manor,0.9,0.25
2007,Baker Village Phase I,0.95,0.25
2007,Marcus Street Senior,0.9,0.25
2007,Willowbrook Villas,0.89,0.22
2007,Sterling Court,0.77,0.21
2007,Cloverset Place,0.77,0.21
2007,The Rivers,0.92,0.25
2007,College Square,0.9,0.25
2007,Kingsland Phase II -Family,0.85,0.2
2007,Kingsland Phase I -HFOP,0.85,0.2
2007,Magnolia Terrace II,0.82,0.25
2007,Blakely Commons,0.82,0.25
2007,Ashford Landing Senior,0.8798,0.23
2007,"Catoosa Senior Village Phase II, L.P.",0.8465,0.21
2007,Lucky Pointe,0.786,0.21
2007,Big Sky Village,0.773,0.21
2007,Tuscany Village,0.85,0.25
2007,Paradise Estates,0.9,0.25
2007,Freedoms Path,0.9,0.25
2007,Juniper Court,0.795,0.2
2007,Elkhorn Crest,0.766,0.2
2007,Antioch Manor Estates Phase 2,0.96,0.3
2007,Chestnut Grove,0.95,0.25
2007,Oconee Overlook,0.96,0.32
2007,Welcome House,0.9,0.25
2007,Sustainable Fellwood - Phase I,0.9,0.25
2007,The Oakes at Auburn Pointe I,0.97,0.25
2007,John O. Chiles Annex Supportive Housing,0.88432,0.24
2007,Ashley CollegeTown II,0.95,0.275
2007,The Terraces at Parkview,0.9,0.2
2007,Oak Forest,0.91,0.27
2007,Regular 9% Project TOTALS:,0.9291,0.2697
2007,Pittsburgh Phase I,0.94,0.27
2007,Avalon Park (f/k/a Provenance at Hollowell Family),0.9375,0.25
2007,Gates Park Crossing Senior,0.925,0.25
2007,Gates Park HFOP,0.9375,0.25
2007,Fourth Street Village,0.97,0.3
2007,The Legacy at Walton Village,0.9,0.2
2008,Orchard Corners,0.8,0.22
2008,"Harbor Pointe, Phase II, L.P.",0.82,0.231
2008,The Terrace at Edinburgh,0.8157,0.28
2008,Camellia Gardens,0.75,0.23
2008,Baptist Towers,0.805,0.27
2008,Antigua Place Phase II,0.78,0.21
2008,Southwood,0.76,0.24
2008,Hooks Plantation,0.76,0.24
2008,Spring Creek,0.76,0.24
2008,Brentwood Place,0.85,0.28
2008,Cumberland Cove,0.85,0.28
2008,Delano Place,0.82,0.29
2008,Primrose Summit,0.8,0.28
2008,Shannon Estates,0.82,0.28
2008,Rosewood Estates,0.82,0.28
2008,"Reserve at Locust Grove, LP",0.85,0.28
2008,Kingsland Phase I-Senior,0.83,0.3
2008,Kingsland Phase III- SF Rental,0.83,0.3
2008,Woodvale II,0.8,0.23
2008,Lakeview,0.86,0.28
2008,Tifton Estates,0.84,0.3
2008,Washington Estates,0.82,0.27
2008,Dogwood View,0.82,0.22
2008,Willow,0.81,0.24
2008,Pine Terrace,0.81,0.27
2008,Woodvale I,0.81,0.24
2008,Summerdale Villas,0.8,0.25
2008,Spring Meadow Village,0.8,0.25
2008,Golden Hills,0.8,0.28
2008,Gillespie Selden Senior,3736360,1471243
2008,Estates at Valley Pines,0.8,0.3
2008,The Overlook at Fairgrounds,0.8,0.28
2008,Mallard Lake,0.85,0.25
2008,Preston Place,0.84,0.25
2008,Washington Park,0.815182,0.3
2008,"Ocean Breeze Park, L.P.",0.79,0.21
2008,Pine Meadows,0.88983,0.31
2008,Baldwin Park,0.78,0.2474434
2008,Carrollton Crossing,0.76,0.23
2008,Spring Meadows Senior,0.83,0.29
2008,Galleria Manor of Smyrna,0.83,0.29
2008,Park Place,0.84,0.28
2008,"Camellia Lane, L.P.",0.78,0.2242955
2008,"Staghorn Bluff, L.P.",0.79963,0.1999
2008,Sustainable Fellwood Phase III,0.8,0.211502
2008,Sustainable Fellwood Phase II,0.85,0.28
2008,Adamsville Green Senior,0.85,0.28
2008,Paradise Estates,0.8,0.29
2008,The Veranda III at Auburn Pointe,0.8,0.3
2008,The Veranda II at Auburn Pointe,0.82,0.25
2008,Prairie Summit,0.81,0.25
2008,The Tower at Dorsey Manor,0.85,0.3
2008,Reserve at East Point,0.8,0.25
2008,Oconee Park,0.85,0.28
2008,Columbia Senior at Riverside,0.28,0.83
2008,Hope Estates Senior Residences,0.85,0.3
2008,Friendship Crossings,0.85,0.3
2008,West Haven Senior Village,0.7886,0.2
2008,Baker Village Phase II,0.8,0.26486
2008,The Landing at Southlake,0.85,0.3
2008,Skyline Trace,0.8347,0.28
2008,Cypress Village,0.85,0.25
2008,Windfield Greene,0.83,0.29
2008,Stateside Commons LP,0.83,0.29
2008,Longleaf,5444550,1396178
2008,Heritage at McDonough,0.8,0.25
2008,Potemkin Senior Village - WR,0.83,0.27
2008,Pearl Stephens Village,0.8,0.28
2009,Columbia Hill Apartments,0.68,0.25
2009,Etowah Terrace Senior Residences,0.75,0.25
2009,Reynoldstown Senior Apartmens,0.75,0.25
2009,Azalea Mill Cottages,0.7,0.25
2009,Powell Place Apartments,0.7,0.25
2009,Woodlawn Terrace Apartments,0.75,0.25
2009,Carrollton Crossing Apartments,0.75,0.25
2009,Oak Trace Villas,0.7,0.25
2009,The Cove at Southlake,0.75,0.25
2009,The Crest at Edinburgh,0.75,0.25
2009,West Haven Senior Village II,0.7,0.25
2009,Bethseda Gardens,0.7,0.1
2009,Tanglewood Park,0.75,0.25
2009,Harristown Park,0.75,0.2500011
2009,Ridgefield Place,0.7,0.2500001
2009,Village Glen of Newnan,0.75,0.2500001
2009,Ware Hotel,0.7150505,0.25
2009,Norwich Commons,0.75,0.25
2009,Amal Heights Townhomes,0.75,0.25
2009,Windfield Greene,0.7,0.23
2009,Ivywood Park Apartments,0.75,0.25
2009,Hampton Oaks Apartments,0.75,0.25
2009,Sustainable Fellwood Phase III,0.75,0.25
2009,Carriage Hill Apartments,0.7,0.25
2009,Greenwood Village Apartments,0.7,0.25
2009,Turner Lane Apartments,0.69,0.25
2009,Columbia Townhomes at Edgewood,0.75,0.25
2009,Mechanicsville Apartments Phase 6,0.75,0.25
2009,The Legacy at Walton Village Phase 2,0.75,0.25
2009,Underwood Homes Redevelopment I,0.75,0.25
2009,Underwood Homes Senior,0.75,0.25
2009,The Manor at Scott's Crossing,0.75,0.25
2009,Gateway East Point,0.75,0.25
2009,Willowbrook Villas,0.75,0.25
2009,Brookhaven Phase II,0.7,0.25
2009,Quail Rise Apartments,0.7,0.25
2009,Longleaf Apartments,0.7,0.25
2009,Summerville Gardens Apartments,0.7,0.25
2009,Heritage at McDonough,0.75,0.25
2009,Ansley at Oconee Overlook,0.7,0.25
2009,Bartlett Crossing,0.75,0.25
2009,"Antioch Villas and Gardens, Phase 3",0.75,0.25
2009,Sheppard Manor,0.75,0.25
2009,Summerfield Apartments,0.75,0.25
2009,Marketside at Brookleigh,0.75,0.25
2009,Heritage at Johns Creek Walk,0.75,0.25
2009,Heritage at Madison Pointe,0.75,0.25
2009,Fairfield HFOP,0.75,0.25
2009,Shangri-La Park,0.75,0.25
2009,Hummingbird Pointe,0.7,0.25
2009,Waynesboro Senior Homes,0.7,0.25
2009,Chattahoochee Estates,0.7,0.25
2009,Ferry Lake Estates,0.7,0.25
2009,Pigeon Creek Apartments,0.7,0.25
2009,Shoal Creek Manor,0.75,0.2
2009,Cameron Court Phase II,0.75,0.2
2009,Potemkin Senior Village of Forsyth,0.75,0.25
2009,Park Place II,0.75,0.2
2009,Cortez Villas,0.75,0.25
2009,Reserve at East Point,0.7,0.25
2009,Ruthie Manor,0.75,0.25
2009,Spring Meadow Village,0.75,0.25
2009,East River Square,0.75,0.25
2009,Village at Madison Place,0.75,0.25
2009,Lakewood Greens,0.7,0.3
2009,Lakewood Hills Senior Village,0.7,0.25
2009,Foxwood Senior Village,0.09,0.0329
2009,Harbour Oaks Apartments,0.75,0.25
2009,Savannah Gardens Phase I,0.68,0.25
2010,Washington Estates II,0.65,0.25
2010,Ferry Lake Estates,0.65,0.25
2010,Brookhaven III,0.71,0.23
2010,Gateway Pines,0.71,0.23
2010,Walnut Square,0.65,0.25
2010,Maple Square,0.65,0.25
2010,Sanford Place,0.65,0.25
2010,Azalea Mill Cottages,0.68,0.27
2010,Heritage Vista,0.66,0.25
2010,Cherokee Mill Lofts,0.64243575,0.2349675
2010,Cotton Mill Lofts,0.65,0.27
2010,Ellijay East,0.69,0.23
2010,Capitol View Senior,0.69,0.23
2010,Windsor,0.69,0.23
2010,Windwood Villas,0.69,0.23
2010,Hampton Oaks,0.72,0.28
2010,Pine Lake Senior,0.7,0.25
2010,Savannah Gdns Ph III,0.73,0.22
2010,Calypso,0.72,0.23
2010,Baptist Gardens,0.68,0.21
2010,Fitzgerald Summit,0.68,0.28
2010,Pepper Ridge,0.67,0.21
2010,Tanglewood,0.67,0.21
2010,Rochelle,0.69,0.21
2010,Baker Village III (Arbor Pte III),0.7,0.25
2010,Columbia TH Edgewd II,0.74,0.25
2010,Lane Manor,0.685,0.15
2010,Emerald Glade,0.7,0.28
2010,East River Square,0.69,0.22
2010,Kingsland III,0.65,0.27
2010,Briarcliff Summit,0.74,0.23
2010,Magnolia Trace,0.68,0.255
2010,Residences at Stillwood,0.68,0.29
2010,Stillwater Point,0.68,0.29
2010,Oak Trace Villas,0.68,0.22
2010,Serenity Terrace,0.5859,0.21
2010,Underwood Homes Redev I,0.7127,0.24
2010,Legacy at Walton Terrace,0.7127,0.24
2010,Cortez Villas,0.65,0.25
2010,Silverwood Place,0.65,0.26
2010,Green Mountain Village,0.64,0.25
2010,Potemkin Senior Forsyth,0.65,0.25
2010,Village at Walkers Bend,0.64,0.27
2010,Crest at Pinehurst,0.72,0.243
2010,Harmony Greene,0.72,0.23
2010,Hartsfield Landing,0.71,0.22
2010,Heritage at Johns Crk Walk,0.71,0.22
2010,Brentwood Place,0.697,0.25
2010,Alta Bradley Park,0.7,0.24
2010,Eagles Run I,0.68,0.25
2010,Ivywood Park,0.7,0.23
2010,Maplewood Park,0.7,0.23
2010,Baywood Park,0.7,0.23
2010,Phoenix House,0.64,0.25
2010,Veranda at Univ Homes,0.722554,0.23
2010,Saratoga Court Ph II,0.65,0.24
2010,Faith Crossing,0.65,0.24
2010,Grace Crossing,0.65,0.24
2010,Farmington Hills,0.680136,0.23
2010,Farmington Woods,0.670134,0.23
2010,Freedom's Path,0.7,0.25
2010,John Robinson Sr Wheat St Gdns,0.7,0.2
2010,Retreat @ Candler Village,0.68,0.25
2010,Dixie Hills Sr Manor,0.65,0.25
2010,Highland Manor,0.65,0.25
2010,Conners Senior,0.69,0.23
2010,Forrester Senior,0.69,0.23
2010,Toccoa Fern Pt,0.69,0.23
2010,Glynn Cypress Landing,0.69,0.23
2010,Effingham Goshen Crossing,0.69,0.23
2010,Allen Wilson Ph 2,0.77,0.27
2010,Park Crest Terrace,0.68,0.23
2011,Lafayette Sr Village Ph1,0.73,0.25
2011,Myrtle Terraces at New Holland,0.86,0.29
2011,Pecan Point,0.75,0.25
2011,Plantation IV,0.75,0.25
2011,Ivywood Park,0.86,0.26
2011,Tanglewood Park,0.86,0.26
2011,Cherokee Mill Lofts,0.82,0.28
2011,Monroe Elementary,0.82,0.28
2011,Country Grove,0.8,0.23
2011,Rochelle,0.8,0.23
2011,"JT Deerfield, LP",0.8,0.23
2011,Veteran Sr Hsg - Asstd Lvg,0.75,0.25
2011,Ashley Auburn Pointe II,0.8,0.25
2011,Rollingwood Place,0.85,0.25
2011,Briarcliff Summit,0.85,0.25
2011,Farmington Hills PhII,0.78,0.25
2011,Farmington Woods,0.81,0.25
2011,Creekview Commons,0.72,0.250001
2011,Stony Ridge,0.75,0.25
2011,Heritage Vista,0.817,0.25
2011,Veranda at Centennial Place,0.82,0.25
2011,Oak Hammock,0.72,0.25
2011,The Village at Winding Rd,0.72,0.25
2011,Woodvale III,0.75,0.25
2011,Edenfield Place,0.72,0.25
2011,Gateway Pines II,0.78,0.25
2011,Chestnut Village,0.78,0.25
2011,Endeavor Pointe,0.75,0.25
2011,The Forest at York,0.7878,0.27
2011,Water Tower Park,0.85,0.26
2011,Columbia Mill,0.84,0.26
2011,Eastman Garden,0.875,0.27
2011,Adair Court,0.86,0.25
2011,Woodsmill,0.77,0.25
2011,Windridge,0.765,0.25
2011,Oak Forest,0.75,0.25
2011,Alsobrook Sr Village,0.78,0.25
2011,Thomson Estates,0.75,0.25
2011,"Washington Estates, II",0.75,0.25
2011,Maria Sr Gardens,0.78,0.22
2011,Town Center Heights,0.8,0.25
2011,Renaissance on Henderson,0.78,0.25
2011,Calypso,0.77,0.27
2011,Brentwood Place,0.7625,0.28
2011,Oak Cove at College Station,0.84,0.25
2011,Lone Mtn Village Ph II,0.77,0.25
2011,Lookout Pointe,0.77,0.25
2011,Red Bird Pointe,0.77,0.25
2011,Stratford Court,0.85,0.26
2011,Hearthside at Peachtree City,0.82,0.26
2011,Golden Hills,0.8,0.23
2011,Foxwood Sr Village,0.72,0.25
2011,Hampton Court,0.7,0.25
2011,Veranda Blackshear,0.78,0.25
2011,Etowah Village,0.82,0.28
2011,Tara Arms,0.78,0.27
2011,Heritage at East Paulding,0.82,0.25
2011,Emerald Estates at Stage 27,0.78,0.25
2011,Powell's Pointe,0.86,0.25
2011,Capitol Oaks Sr,0.85,0.25
2011,Ashton Pines,0.83,0.27
2011,Coral Gardens,0.8262,0
2011,Imperial Hotel,0.8,0.25
2012,Stony Ridge,0.76,0.25
2012,Pinewood Village,0.845,0.25
2012,Hardin Terrace,0.87,0.26
2012,Norwich Commons,0.82,0.25
2012,Preserve at Ogeechee,0.82,0.25
2012,Hidden Glen Village,0.84,0.25
2012,Tanglewood Heights,0.9,0.26
2012,Savannah Gdns Ph IV,0.93,0.27
2012,Pine Lake Sr,0.93,0.27
2012,Overlook at Walkers Bend,0.82,0.25
2012,Creekview Commons,0.85,0.25
2012,Conners Sr Village Ph II,0.842,0.25
2012,McIntosh Sr Village,0.865,0.25
2012,Forrest Heights,0.85,0.27
2012,Pauldoe Redevlpmt Ph I,0.85,0.27
2012,Monroe Elementary,0.849915633,0.249975073
2012,Cherokee Mill,0.849915086,0.249974963
2012,Poplar Pointe,0.88,0.24
2012,Walton Oaks Family 2,0.88,0.24
2012,Heritage Trace,0.7791,0.26
2012,Mountain View,0.77,0.27
2012,Stone Valley,0.85,0.25
2012,Avalon Court,0.85,0.25
2012,Brookhaven III,0.86,0.25
2012,Red Bird Pointe,0.87,0.25
2012,Broadview Cove,0.86,0.28
2012,Veranda at Groveway,0.88,0.27
2012,Groves Place,0.86,0.28
2012,Tallokas Pointe,0.858,0.25
2012,Freedom Pointe,0.853,0.25
2012,Eureka Heights,0.854,0.25
2012,Ashley House,0.850000479,0.270000224
2012,AAL at Scholars Landing,0.840000158,0.25000039
2012,Goshen Crossing II,0.86,0.26
2012,Abbington Woods,0.85,0.25
2012,Auburn Hills,0.874,0.25
2012,Farmington Hills II,0.88,0.28
2012,Braselton Court,0.88,0.28
2012,HearthSide Sugarloaf,0.9,0.28
2012,Heritage at Lawrenceville,0.9,0.28
2012,Adair Court,0.85,0.24
2012,Fitzgerald Summit,0.92,0.26
2012,Village at Blackshear,0.92,0.26
2012,Villas at Stanford,0.87,0.28
2012,Panola Gardens Sr,0.9,0.29
2012,Magnolia Pointe,0.87,0.26
2012,Thomson Estates,0.81,0.25
2012,Piedmont Village,0.86,0.25
2012,Stillwell Villas,0.86,0.25
2012,Freedom's Path II,0.86,0.25
2012,Freedom's Path I,0.76,0.23
2012,Bear Creek Village,0.76,0.23
2012,Ramsey Run,0.82,0.24
2012,Ashleigh Place Sr,0.89,0.27
2012,Silver Comet Sr,0.9,0.28
2012,Myrtle Terraces,0.85,0.25
2012,Lafayette Sr Ph 1,0.85,0.25
2012,Allen Wilson III,0.85,0.25
2012,Cameron Court III,0.92,0.28
2012,Tara Arms,0.84,0.25
2012,Autumn Manor,0.89,0.27
2012,Woodlands Village II,0.84,0.25
2013,Forest Mill Apartments,0.8065,0.25
2013,Commons at Nelms,0.86,0.32
2013,Manor at Broad Street,0.82,0.3
2013,The Gardens,0.83,0.3
2013,The Villas at Stanford,0.82,0.32
2013,The Reserve at Hampton,0.82,0.32
2013,Country Grove Apartments,0.85,0.26
2013,Stone Valley Apartments,0.8475,0.26
2013,Savannah Gardens Phase V,0.86,0.33
2013,Heather Highlands,0.835,0.32
2013,Mountain View Senior Residences,0.88,0.33
2013,Wild Pines Apartments,0.86,0.32
2013,Tupelo Ridge Apartments,0.85,0.3
2013,School Street Development,0.85,0.25
2013,Legacy at Walton Oaks 2,0.82,0.25
2013,Silver Comet Senior Village,0.85,0.25
2013,Eureka Heights,0.84,0.32
2013,Autry Pines Senior Village,0.84,0.25
2013,BTW-Chapman Phase I,0.8,0.34
